title,views,reads,read_ratio,earnings_usd,published_date,collection,url
Life Moves On,18,2,0.11,0.05,2021-10-18,Humans Are Stories,https://medium.com/humans-are-stories/life-moves-on-471dd88d65ca
December’21 Quotes Prompt — Inspiration,17,2,0.12,0.13,2021-12-01,Humans Are Stories,https://medium.com/humans-are-stories/december21-quotes-prompt-inspiration-d7f9ceb64365
Real vs. Instant Love,17,6,0.35,0.05,2021-11-29,The Shortform,https://medium.com/the-shortform/real-vs-instant-love-be8adcfea33a
Good Things,16,5,0.31,0.08,2021-12-16,Humans Are Stories,https://medium.com/humans-are-stories/good-things-3c7eb691674c
Fire of Hope,16,4,0.25,0.12,2021-12-14,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/fire-of-hope-3955dcad8057
The Mighty Words,16,7,0.44,0.08,2021-12-01,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/the-mighty-words-339fc5399695
Meaning of Perspective,16,6,0.38,0.03,2021-11-23,Humans Are Stories,https://medium.com/humans-are-stories/meaning-of-perspective-77c1344d466c
A Tug of War over User Data,16,3,0.19,0.0,2021-11-14,The Shortform,https://medium.com/the-shortform/a-tug-of-war-over-user-data-9dceaa0d0b01
My Happy Places Allow Me to Write and Read,16,6,0.38,0.03,2021-11-11,The Shortform,https://medium.com/the-shortform/my-happy-places-allow-me-to-write-and-read-63f92ca0a86b
Making Job Hunt Efficient,16,7,0.44,0.04,2021-10-31,The Shortform,https://medium.com/the-shortform/making-job-hunt-efficient-9cd081dca20e
Loving Is Not Easy,16,5,0.31,0.03,2021-10-18,Writers’ Blokke,https://medium.com/writers-blokke/loving-is-not-easy-3b56778e8be8
Sarcasm and Its Complications,15,8,0.53,0.08,2021-12-04,Humans Are Stories,https://medium.com/humans-are-stories/sarcasm-and-its-complications-d48e79cf04cc
Why Did You Have to Tell Me?,15,4,0.27,0.02,2021-11-28,Writers’ Blokke,https://medium.com/writers-blokke/why-did-you-have-to-tell-me-8affc040afd1
Value of Patience,15,5,0.33,0.04,2021-11-22,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/value-of-patience-9c237973c7ef
Express Yourself,14,4,0.29,0.02,2021-12-26,Humans Are Stories,https://medium.com/humans-are-stories/express-yourself-49c6d245ef06
The Beauty of a Moment,14,4,0.29,0.03,2021-11-27,Humans Are Stories,https://medium.com/humans-are-stories/the-beauty-of-a-moment-ee2aac8e84b9
Gratitude Journaling,14,8,0.57,0.04,2021-11-14,The Shortform,https://medium.com/the-shortform/gratitude-journaling-76a8ec868f4
"Oh, Teenage Me!",14,6,0.43,0.01,2021-11-10,The Shortform,https://medium.com/the-shortform/oh-teenage-me-36ee96040baa
Colors of Spring,14,6,0.43,0.17,2021-10-30,The Happy Human,https://medium.com/the-happy-human/colors-of-spring-23c1136a3028
5 Strategies to Embrace Life’s Momentum and Thrive,13,1,0.08,0.01,2024-05-10,,https://tarun-gupta.medium.com/5-strategies-to-embrace-lifes-momentum-and-thrive-d5da65977647
Introspective Sadness of Own Life,13,4,0.31,0.05,2021-11-22,The Lark,https://medium.com/the-lark/introspective-sadness-of-own-life-21a50d4aebc
How Life Should Be,13,4,0.31,0.07,2021-08-24,The Lark,https://medium.com/the-lark/how-life-should-be-d2e529144358
The Power of Breaks: Nurturing Creativity in a Nonstop World,12,0,0.0,0.0,2023-07-03,Humans Are Stories,https://medium.com/humans-are-stories/the-power-of-breaks-nurturing-creativity-in-a-nonstop-world-3c1b7414c6cd
Value of Companionship,12,5,0.42,0.06,2021-12-11,Humans Are Stories,https://medium.com/humans-are-stories/value-of-companionship-c62cfadb17c8
Relationships Are like a Clap,12,4,0.33,0.27,2021-12-06,Humans Are Stories,https://medium.com/humans-are-stories/relationships-are-like-a-clap-51df66a2251d
Addiction to Pain,12,5,0.42,0.21,2021-11-28,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/addiction-to-pain-112b33c0c894
Reality,12,12,1.0,0.09,2021-09-07,iPoetry,https://medium.com/ipoetry/reality-84057dd19889
Roundup on 10-Day Shortform Challenge,11,7,0.64,0.02,2021-11-17,The Shortform,https://medium.com/the-shortform/roundup-on-10-day-shortform-challenge-496336009ac6
Chaos of Trouble,10,4,0.4,0.0,2021-11-29,Humans Are Stories,https://medium.com/humans-are-stories/chaos-of-trouble-764365b45b38
Devious Hope,9,3,0.33,0.04,2021-12-24,Humans Are Stories,https://medium.com/humans-are-stories/devious-hope-1dffb48549e1
Moving On,9,3,0.33,0.0,2021-12-22,Humans Are Stories,https://medium.com/humans-are-stories/moving-on-a713a34a8117
Emotional Spending,9,4,0.44,0.0,2021-12-16,Humans Are Stories,https://medium.com/humans-are-stories/emotional-spending-a5496ff1332
Say Goodbye,9,4,0.44,0.0,2021-12-11,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/say-goodbye-e07eb3134459
Whys of Lives,9,3,0.33,0.04,2021-11-25,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/whys-of-lives-6e9d3a764c1
Flowing Mascara,9,2,0.22,0.07,2021-10-29,iPoetry,https://medium.com/ipoetry/flowing-mascara-e0059edc194c
Value of Companionship,8,5,0.62,0.02,2021-12-23,Humans Are Stories,https://medium.com/humans-are-stories/value-of-companionship-21a4d6f3067e
I Am Just a Human Being,8,3,0.38,0.04,2021-12-07,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/i-am-just-a-human-being-c626231e8d1
Gift of Overthinking,8,5,0.62,0.01,2021-11-25,Humans Are Stories,https://medium.com/humans-are-stories/gift-of-overthinking-c73148450072
6 Actions to Becoming a Better Writer,8,3,0.38,0.03,2021-11-12,The Shortform,https://medium.com/the-shortform/6-actions-to-becoming-a-better-writer-1031f58803d9
Nonexistent Perfection,7,5,0.71,0.01,2021-12-17,Humans Are Stories,https://medium.com/humans-are-stories/nonexistent-perfection-b251afa906f7
Why Is Closure Important?,7,3,0.43,0.04,2021-11-22,Humans Are Stories,https://medium.com/humans-are-stories/why-is-closure-important-9961cb6716c0
The Day I Said No to a Party,7,5,0.71,0.06,2021-11-12,The Shortform,https://medium.com/the-shortform/the-day-i-said-no-to-a-party-eec9521b1b03
Hyperdrive of Overthinking,6,2,0.33,0.0,2021-12-03,Humans Are Stories,https://medium.com/humans-are-stories/hyperdrive-of-overthinking-aadb9ea7b2a
The Crucial Actions,5,2,0.4,0.0,2021-12-25,Humans Are Stories,https://medium.com/humans-are-stories/the-crucial-actions-6a9e3818177d
Feedback is Crucial,4,4,1.0,0.0,2021-12-20,Humans Are Stories,https://medium.com/humans-are-stories/feedback-is-crucial-12c94e5d21ae
In Denial,4,0,0.0,0.01,2021-12-13,Humans Are Stories,https://medium.com/humans-are-stories/in-denial-134de471a9ac
The Feelings Truth Invokes,4,1,0.25,0.01,2021-12-04,The Brain is a Noodle,https://medium.com/the-brain-is-a-noodle/the-feelings-truth-invokes-e69ac315843a
Simplest Hardest Things,4,1,0.25,0.0,2021-12-02,Humans Are Stories,https://medium.com/humans-are-stories/simplest-hardest-things-312ccf96c680
Comfort and Change,4,3,0.75,0.05,2021-11-20,,https://tarun-gupta.medium.com/comfort-dc4abad6524b
Sir Arthur Conan Doyle and I Are Having Tea,4,3,0.75,0.03,2021-11-13,The Shortform,https://medium.com/the-shortform/sir-arthur-conan-doyle-and-i-are-having-tea-b786749807b8
Path to Knowing,3,1,0.33,0.02,2021-12-10,Humans Are Stories,https://medium.com/humans-are-stories/path-to-knowing-1773492a12e0
